"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá! Eu sou o professor Alfredo, o Diretor da Trusty Tutors. Como te chamas?"
"Estudante"	"Olá professor Alfredo, eu chamo-me Aluno A."
"Avaliador"	"[STUDENT] Muito bem, Aluno A! Diz-me, quantos anos tens?"
"Estudante"	"Eu tenho 9 anos, professor."
"Avaliador"	"[STUDENT] Óptimo, Aluno A, 9 anos é uma idade muito boa para aprenderes coisas novas. O que gostas mais de fazer nos teus tempos livres?"
"Estudante"	"A coisa que eu adoro fazer nos meus tempos livres é jogar futebol. Adoro mesmo!"
"Avaliador"	"[STUDENT] Fico contente por saber isso, Aluno A! Futebol é um grande desporto. Ficaste contente quando soubeste que foste selecionado para participar nesta atividade diferente aqui na escola?"
"Estudante"	"Eu fiquei muito empolgado, porque adoro experimentar coisas novas."
"Avaliador"	"[STUDENT] Que bom, Aluno A, gosto de ver esse entusiasmo! Agora, vou fazer-te umas perguntas para perceber em que nível estás. Pode ser?"
"Estudante"	"Sim, professor. Já agora, onde esta o outro professor?"
"Avaliador"	"[STUDENT] O Professor João vai falar contigo mais à frente, mas para já serei eu a fazer-te umas perguntas. Preparado?"
"Estudante"	"Sim!"
"Avaliador"	"[STUDENT] Óptimo! Só para saberes, não posso esclarecer dúvidas durante esta parte e só tens uma oportunidade para responder de forma completa a cada pergunta, está bem?"
"Estudante"	"OK."
"Avaliador"	"[STUDENT] Posso então começar com as perguntas, Aluno A?"
"Estudante"	"Sim, vamos lá!"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno A, **escreve** o nome de 3 __continentes__ que façam parte do Planeta Terra."
"Estudante"	"África, Europa e Ásia."
"Avaliador"	"[STUDENT] Muito bem, **escreve** o nome de 4 países que fazem parte da União Europeia."
"Estudante"	"Portugal, Luxemburgo e França"
"Avaliador"	"[STUDENT] Deves escrever ""Luxemburgo"" em vez de ""Lusemburgo"". 
Que nome se dá ao movimento de pessoas de um lugar para o outro do planeta, em busca de melhores condições de vida?"
"Estudante"	"Não sei professor. Peço desculpa."
"Avaliador"	"[STUDENT] Não faz mal, Aluno A! **Escreve** um exemplo de uma migração por __razões humanitárias__."
"Estudante"	"Eu ainda não aprendi isso"
"Avaliador"	"[STUDENT] Não há problema, Aluno A! **Define** densidade populacional."
"Estudante"	"Eu ainda não aprendi isso, pois eu sou do 3º ano."
"Avaliador"	"[STUDENT] Percebo, Aluno A! Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"Não aprendi isso"
"Avaliador"	"[STUDENT] Não tem problema, Aluno A! **Escreve** o exemplo de um comportamento correto durante um sismo."
"Estudante"	"Ir para baixo de um objeto grande e resistente, como uma mesa de madeira."
"Avaliador"	"[STUDENT] Muito bem, **escreve** o nome de 3 elementos que devem fazer parte de um Kit de emergência."
"Estudante"	"Ligaduras, um antissético e pensos."
"Avaliador"	"[STUDENT] Muito bem, **refere** uma ou mais características do solo arenoso."
"Estudante"	"O que é o solo arenoso? É que eu ainda não aprendi isso como aluno do 3º ano."
"Avaliador"	"[STUDENT] Compreendo, Aluno A! **Escreve** o nome das três rochas que predominam em Portugal Continental."
"Estudante"	"Não aprendi isso."
"Avaliador"	"[STUDENT] Aluno A, parabéns pelo teu esforço! O que achaste destas perguntas?"
"Estudante"	"As primeiras foram boas, mas as últimas foram difíceis."
"Avaliador"	"[STUDENT] Percebo, algumas perguntas podem ser mesmo mais difíceis. Queres saber a pontuação que terias neste questionário?"
"Estudante"	"Sim, por favor."
"Avaliador"	"[STUDENT] Vou então dizer-te os pontos de cada pergunta:  
Pergunta 1: 10 em 10 pontos.  
Pergunta 2: 5 em 10 pontos.  
Pergunta 3: 0 em 10 pontos.  
Pergunta 4: 0 em 10 pontos.  
Pergunta 5: 0 em 10 pontos.  
Pergunta 6: 0 em 10 pontos.  
Pergunta 7: 10 em 10 pontos.  
Pergunta 8: 0 em 10 pontos.  
Pergunta 9: 0 em 10 pontos.  
Pergunta 10: 0 em 10 pontos.  
No final ficarias com 25 em 100 pontos.  

Daqui a pouco, o Professor João vai ajudar-te a melhorar o teu desempenho. Queres tentar melhorar a tua pontuação com ele?"
"Estudante"	"Sim."
"Avaliador"	"[STUDENT] Ótimo, Aluno A! Na nossa escola damos oportunidade a professores mais novos, como o Professor João, para te ajudarem a consolidar conhecimentos. Aproveita para falar à vontade com o Professor João, ele é muito simpático! Estás pronto para começar com ele?"
"Estudante"	"Sim, e obrigado pelo seu trabalho comigo."
