"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá, eu sou o Diretor Alfredo! Como te chamas?"
"Estudante"	"Aluno B"
"Avaliador"	"[STUDENT] Muito bem, Aluno B! Quantos anos tens?"
"Estudante"	7
"Avaliador"	"[STUDENT] Que idade gira, Aluno B! Qual é a tua disciplina favorita na escola?"
"Estudante"	"matemática"
"Avaliador"	"[STUDENT] Deves escrever ""Matemática"" com letra maiúscula porque é o nome de uma disciplina, parabéns, escolheste uma área muito importante! Ficaste contente por teres sido escolhido para participar nesta atividade diferente?"
"Estudante"	"Sim"
"Avaliador"	"[STUDENT] Fico contente por ouvi-lo, Aluno B! Agora, vou fazer-te umas perguntas para perceber melhor o teu nível, está bem?"
"Estudante"	"Ok"
"Avaliador"	"[STUDENT] Antes de começarmos, tens de saber que não posso esclarecer dúvidas sobre as perguntas e só tens uma oportunidade para cada resposta, combinado?"
"Estudante"	"Combinado"
"Avaliador"	"[STUDENT] Posso começar agora com as perguntas, Aluno B?"
"Estudante"	"Sim"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Diz-me, Aluno B, qual é o **__tipo de frase__** utilizado na frase: ""Enche a banheira com água salgada para colocar o tubarão."""
"Estudante"	"Não sei desculpe"
"Avaliador"	"[STUDENT] Não faz mal, Aluno B, todos estamos aqui para aprender. Agora, responde: Qual é o **__tipo de frase__** utilizado na frase: ""Que tubarão grande!"""
"Estudante"	"Afirmação"
"Avaliador"	"[STUDENT] Deves escrever ""afirmação"" com acento no ""a"": afirmação. Vamos à próxima! __Reescreve__ a frase no plural: ""O jovem fez a mais admirável descoberta."""
"Estudante"	"Os jovens fizeram as mais admiráveis descobertas"
"Avaliador"	"[STUDENT] Muito bem, Aluno B. Agora, __reescreve__ a frase, substituindo as palavras destacadas por **antónimos**: ""**Terminada** a pescaria, o rapaz **enervou-se**."""
"Estudante"	"Desculpe não percebi"
"Avaliador"	"[STUDENT] Não há problema, Aluno B, tenta responder da forma que conseguires, sem preocupações. Agora, __reescreve__ a frase, substituindo as palavras destacadas por __sinónimos__: ""Era uma vez um tubarão **belo** e **veloz** e um menino **esperto** e **valente**."""
"Estudante"	"Era uma vez um tubarão bonito e rápido e um menino inteligente e corajoso"
"Avaliador"	"[STUDENT] Muito bem, Aluno B! Agora lê as frases e diz-me qual das palavras destacadas pertence à classe __quantificador numeral__: ""**O** rapaz **foi** pescar **duas** vezes com o avô. Como era **muito esperto**, convenceu o avô de que o tubarão era apenas **um peixe enorme**. A mãe **não** queria acreditar no que via, por isso **esfregou** os **olhos três** vezes!"""
"Estudante"	"Não percebo desculpe"
"Avaliador"	"[STUDENT] Não te preocupes, Aluno B, faz parte aprender com estas situações. Vamos à próxima: __Lê__ as frases e escolhe as palavras destacadas que pertencem à classe __advérbio__: ""**O** rapaz **foi** pescar **duas** vezes com o avô. Como era **muito esperto**, convenceu o avô de que o tubarão era apenas **um peixe enorme**. A mãe **não** queria acreditar no que via, por isso **esfregou** os **olhos três** vezes!"""
"Estudante"	"Não sei"
"Avaliador"	"[STUDENT] Não faz mal, Aluno B. Diz-me então: Qual é o **grau do adjetivo** na frase: ""O rapaz era mais conversador do que o avô."""
"Estudante"	"Conersador"
"Avaliador"	"[STUDENT] Deves escrever ""conversador"" em vez de ""conersador"". Agora, __reescreve__ a frase com o adjetivo no **grau superlativo absoluto analítico**: ""É um tubarão rapidíssimo."""
"Estudante"	"EU ainda não sei isso"
"Avaliador"	"[STUDENT] Não faz mal, Aluno B! Vamos seguir para a última: __Reescreve__ as frases com __preposições__, sem as repetires: ""____ o almoço, eles decidiram ir ____ à praia ____ nadar ____ os peixes. Estava tanto frio que voltaram ____ molhar os pés."""
"Estudante"	"Alfredo não sei as primeiras 4 mas sei a última"
"Avaliador"	"[STUDENT] Não faz mal, Aluno B. Parabéns por tentares responder! O que achaste destas perguntas?"
"Estudante"	"São muito fixes"
"Avaliador"	"[STUDENT] Fico contente que tenhas gostado! Queres saber que pontuação terias tido nestas perguntas?"
"Estudante"	"Sim"
"Avaliador"	"[STUDENT] Pergunta 1: 0 em 10 pontos; Pergunta 2: 0 em 10 pontos; Pergunta 3: 10 em 10 pontos; Pergunta 4: 0 em 10 pontos; Pergunta 5: 10 em 10 pontos; Pergunta 6: 0 em 10 pontos; Pergunta 7: 0 em 10 pontos; Pergunta 8: 0 em 10 pontos; Pergunta 9: 0 em 10 pontos; Pergunta 10: 0 em 10 pontos. No final ficarias com 20 em 100 pontos."
"Estudante"	"Obrigado"
"Avaliador"	"[STUDENT] De nada, Aluno B! Agora vais ter a oportunidade de aprender mais: na nossa escola, contratamos professores mais novos para ajudar os alunos a melhorarem os seus conhecimentos, e desta vez será o Professor João que vai conversar contigo sobre estas perguntas. Aproveita para falar com ele à vontade, ele é muito simpático! Quando estiveres preparado diz-me."
"Estudante"	"Ok já estou preparado"
