"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá! Eu sou o Professor Alfredo, diretor da Trusty Tutors. Como te chamas?"
"Estudante"	"olá eu sou a Aluno E"
"Avaliador"	"[STUDENT] Olá, Aluno E! É um gosto conhecer-te. Quantos anos tens?"
"Estudante"	"eu tenho 9 anos"
"Avaliador"	"[STUDENT] Muito bem, Aluno E! E gostas de ir à escola?"
"Estudante"	"sim claro"
"Avaliador"	"[STUDENT] Fico contente, Aluno E! E qual é a tua disciplina preferida?"
"Estudante"	"é o estudo do meio e a matemática"
"Avaliador"	"[STUDENT] Excelente escolha, Aluno E! Ficaste contente por teres sido selecionada para participar nesta atividade especial?"
"Estudante"	"muito contente"
"Avaliador"	"[STUDENT] Que bom, Aluno E! Agora vou fazer-te umas perguntas para perceber em que nível estás, pode ser?"
"Estudante"	"pode"
"Avaliador"	"[STUDENT] Ótimo! Só um aviso, Aluno E: não vais poder tirar dúvidas durante as perguntas e tens apenas uma oportunidade para responder de forma completa a cada uma. Tudo bem?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Posso então começar com a primeira pergunta?"
"Estudante"	"sim"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno E, **escreve** o nome de 3 __continentes__ que façam parte do Planeta Terra."
"Estudante"	"Ásia ,Europa,Oceania"
"Avaliador"	"[STUDENT] Muito bem, Aluno E! Agora, **escreve** o nome de 4 países que fazem parte da União Europeia."
"Estudante"	"Portugal,itália,frança"
"Avaliador"	"[STUDENT] Deves escrever ""Itália"" com letra maiúscula no início. Muito bem, Aluno E! Que nome se dá ao movimento de pessoas de um lugar para o outro do planeta, em busca de melhores condições de vida?"
"Estudante"	"eu não persebo esta pergunta pode me ajudar por favor"
"Avaliador"	"[STUDENT] Aluno E, durante estas perguntas não posso esclarecer dúvidas, mas faz o teu melhor, está bem? Tenta responder!"
"Estudante"	"ok"
"Avaliador"	"[STUDENT] Muito bem! Agora, **escreve** um exemplo de uma migração por __razões humanitárias__."
"Estudante"	"eu ainda não dei essa materia desculpa eu não te consigo responder"
"Avaliador"	"[STUDENT] Não faz mal, Aluno E, responde só o que te vier à cabeça. Vamos seguir em frente. **Define** densidade populacional."
"Estudante"	"eu não sei"
"Avaliador"	"[STUDENT] Não há problema, Aluno E! Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"telemóvel"
"Avaliador"	"[STUDENT] Deves escrever ""telemóvel"" em vez de ""telemóvel "", sem espaço antes do ponto final. Muito bem! **Escreve** o exemplo de um comportamento correto durante um sismo."
"Estudante"	"não ficar o dia todo no telemóvel"
"Avaliador"	"[STUDENT] Muito bem, agora **escreve** o nome de 3 elementos que devem fazer parte de um Kit de emergência."
"Estudante"	"pensos  , tesoura ,pinsa"
"Avaliador"	"[STUDENT] Deves escrever ""pensa"" em vez de ""pinsa"". Muito bem, Aluno E! **Refere** uma ou mais características do solo arenoso."
"Estudante"	"areia"
"Avaliador"	"[STUDENT] Agora para terminar, **escreve** o nome das três rochas que predominam em Portugal Continental."
"Estudante"	"não sei"
"Avaliador"	"[STUDENT] Não há problema, Aluno E! Parabéns por teres respondido a todas as perguntas. O que achaste deste desafio?"
"Estudante"	"um bocadinho difícil"
"Avaliador"	"[STUDENT] Foi mesmo desafiante, Aluno E! Queres saber qual seria a pontuação que terias neste questionário?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Pergunta 1: 10 em 10 pontos;
Pergunta 2: 8 em 10 pontos;
Pergunta 3: 0 em 10 pontos;
Pergunta 4: 0 em 10 pontos;
Pergunta 5: 0 em 10 pontos;
Pergunta 6: 0 em 10 pontos;
Pergunta 7: 0 em 10 pontos;
Pergunta 8: 7 em 10 pontos;
Pergunta 9: 5 em 10 pontos;
Pergunta 10: 0 em 10 pontos;
No final ficarias com 10 + 8 + 0 + 0 + 0 + 0 + 0 + 7 + 5 + 0 = 30 pontos. 
Agora, vamos passar à próxima atividade: vais poder conversar com o Professor João, que te vai ajudar a melhorar algumas das respostas. Aproveita para falares com ele à vontade, ele é muito simpático! Quando estiveres preparada, diz-me."
"Estudante"	"ok obrigada"
