"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá, sou o professor Alfredo, o Diretor da escola Trusty Tutors. Como te chamas?"
"Estudante"	"Eu chamo Aluno H"
"Avaliador"	"[STUDENT] Muito bem, Aluno H. Quantos anos tens?"
"Estudante"	"Eu tem 9 anos"
"Avaliador"	"[STUDENT] Deves escrever ""tenho"" em vez de ""tem"". Então, tens 9 anos, certo? O que gostas mais de fazer nos teus tempos livres?"
"Estudante"	"Sim certou"
"Avaliador"	"[STUDENT] Fico contente por estares atento! Diz-me, costumas gostar das aulas da escola, ou há alguma disciplina que te dá mais trabalho?"
"Estudante"	"Eu faz trabalhos"
"Avaliador"	"[STUDENT] Deves escrever ""faço"" em vez de ""faz"". Ficaste contente por teres sido escolhido para participar nesta atividade especial hoje?"
"Estudante"	"Sim"
"Avaliador"	"[STUDENT] Que bom, Aluno H! Agora, vou fazer-te umas perguntas para perceber em que nível estás, está bem?"
"Estudante"	"Eu estou n"
"Avaliador"	"[STUDENT] Não te preocupes, é só para ficares a saber como poderás aprender mais! Antes de começarmos, quero explicar-te que não posso esclarecer dúvidas e só tens uma oportunidade para responder a cada pergunta, combinado?"
"Estudante"	"Eu estou nível 3"
"Avaliador"	"[STUDENT] Obrigado, Aluno H, mas agora queria saber se percebeste que não podes tirar dúvidas durante as perguntas. Posso então começar?"
"Estudante"	"Sim , eu comço"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno H, diz-me qual é o **__tipo de frase__** usado em ""Enche a banheira com água salgada para colocar o tubarão."""
"Estudante"	"Mas os tubara~~aãããã"
"Avaliador"	"[STUDENT] Agora não posso responder a perguntas, Aluno H, só tens uma oportunidade para responder a cada questão. Podes dizer o tipo de frase da frase que te coloquei?"
"Estudante"	"Foi errada"
"Avaliador"	"[STUDENT] Deves escrever ""foi errada"" apenas se te pedirem para corrigir algo, mas agora queria a tua resposta à pergunta: Qual é o **__tipo de frase__** utilizado na frase ""Enche a banheira com água salgada para colocar o tubarão.""? Responde só ao que perguntei, por favor."
"Estudante"	"Mas os tubarõ"
"Avaliador"	"[STUDENT] Lembra-te que agora não posso esclarecer dúvidas, Aluno H. Se quiseres, responde apenas ao tipo de frase. Qual achas que é?"
"Estudante"	"Mas os tubarões ficam no praia"
"Avaliador"	"[STUDENT] Aluno H, este é o momento de responder à pergunta, sem dúvidas nem comentários, por favor. Consegues dizer o tipo de frase desta frase: ""Enche a banheira com água salgada para colocar o tubarão.""?"
"Estudante"	"Não sei"
"Avaliador"	"[STUDENT] Não faz mal, Aluno H, vamos passar à próxima. E nesta frase: ""Que tubarão grande!"" Qual é o **__tipo de frase__** usado aqui?"
"Estudante"	"O tubarão grande tem comprimento"
"Avaliador"	"[STUDENT] Deves responder apenas ao tipo de frase, Aluno H. Consegues dizer se é declarativa, interrogativa, exclamativa ou imperativa?"
"Estudante"	"Eu sei"
"Avaliador"	"[STUDENT] Então responde, por favor: Que tipo de frase é ""Que tubarão grande!""?"
"Estudante"	"O tubarão tem comprimento ."
"Avaliador"	"[STUDENT] Aluno H, tenta responder apenas à minha pergunta: ""Que tubarão grande!"" é que tipo de frase? Escolhe entre declarativa, interrogativa, exclamativa ou imperativa."
"Estudante"	"Eu tento"
"Avaliador"	"[STUDENT] Muito bem, Aluno H, continua a tentar! Agora, reescreve esta frase no plural: ""O jovem fez a mais admirável descoberta."""
"Estudante"	"O jovem fiz a mais admirável descoberta."
"Avaliador"	"[STUDENT] Deves escrever ""fizeram"" em vez de ""fiz"" ao passares para o plural. Muito bem, agora reescreve a frase, substituindo as palavras destacadas por **__antónimos__**: ""**Terminada** a pescaria, o rapaz **enervou-se**."""
"Estudante"	"t"
"Avaliador"	"[STUDENT] Aluno H, lembra-te de tentar responder sempre de forma completa. Vamos novamente: reescreve a frase, substituindo ""**Terminada**"" por um antónimo e ""**enervou-se**"" por outro antónimo."
"Estudante"	"Terminou a pescaria , o rapaz  enerveu-se"
"Avaliador"	"[STUDENT] Deves escrever ""enervou-se"" em vez de ""enerveu-se"". Muito bem, agora reescreve esta frase, substituindo as palavras destacadas por __sinónimos__: ""Era uma vez um tubarão **belo** e **veloz** e um menino **esperto** e **valente**."""
"Estudante"	"Era uma vez um tubarão bela e veloz e um menino esperto e valente"
"Avaliador"	"[STUDENT] Deves escrever ""belo"" em vez de ""bela"" neste contexto. Muito bem, lê estas frases e diz-me quais as palavras destacadas que pertencem à classe **__quantificador numeral__**: ""**O** rapaz **foi** pescar **duas** vezes com o avô. Como era **muito esperto**, convenceu o avô de que o tubarão era apenas **um peixe enorme**. A mãe **não** queria acreditar no que via, por isso **esfregou** os **olhos três** vezes!"""
"Estudante"	"não sei"
"Avaliador"	"[STUDENT] Não faz mal, Aluno H! Vamos avançar. Agora diz-me, das palavras destacadas na mesma frase, quais pertencem à classe **__advérbio__**?"
"Estudante"	"duas, três"
"Avaliador"	"[STUDENT] Muito bem! Agora responde: Qual é o **__grau do adjetivo__** na frase ""O rapaz era mais conversador do que o avô""?"
"Estudante"	"conversador"
"Avaliador"	"[STUDENT] Tenta responder ao grau do adjetivo, Aluno H. É positivo, comparativo ou superlativo?"
"Estudante"	"ñão sei"
"Avaliador"	"[STUDENT] Está tudo bem, Aluno H! Agora tenta reescrever a frase com o adjetivo no **__grau superlativo absoluto analítico__**: ""É um tubarão rapidíssimo."""
"Estudante"	"quero terminar. tenho uma coisa importante para fazer"
"Avaliador"	"[STUDENT] Compreendo, Aluno H. Se quiseres podemos terminar por aqui, agradeço muito a tua participação e desejo-te um ótimo resto de dia! Espero que tenhas gostado desta experiência! Até breve!! [END]"
