"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá, eu sou o professor Alfredo, o Diretor desta escola. Como te chamas?"
"Estudante"	"Aluno K"
"Avaliador"	"[STUDENT] Olá Aluno K, é um gosto conhecer-te! Quantos anos tens?"
"Estudante"	"10 anos."
"Avaliador"	"[STUDENT] Muito bem, Aluno K, obrigada pela resposta! Diz-me lá, gostas de ir à escola?"
"Estudante"	"Mais ou menos."
"Avaliador"	"[STUDENT] Compreendo, nem sempre é fácil gostar de tudo, não é? Diz-me, tens alguma disciplina de que gostes mais?"
"Estudante"	"Sim, educação fisica."
"Avaliador"	"[STUDENT] Boa escolha, educação física é divertida! Ficaste contente por teres sido selecionada para participar nesta atividade?"
"Estudante"	"Não sei."
"Avaliador"	"[STUDENT] Não faz mal, vais ver que vai ser interessante. Vou fazer-te umas perguntas para perceber em que nível estás, pode ser?"
"Estudante"	"Sim!"
"Avaliador"	"[STUDENT] Obrigado! Só para saberes, não vou poder esclarecer dúvidas e tens apenas uma oportunidade para responder a cada pergunta de forma completa, está bem?"
"Estudante"	"não"
"Avaliador"	"[STUDENT] Entendo, mas desta vez é mesmo assim, vais conseguir! Posso começar?"
"Estudante"	"não"
"Avaliador"	"[STUDENT] Sem problema, diz-me quando estiveres pronta para começarmos."
"Estudante"	"OK"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno K, diz-me qual é o **__tipo de frase__** utilizado na frase: ""Enche a banheira com água salgada para colocar o tubarão."""
"Estudante"	"Acho que é uma frase imperativa."
"Avaliador"	"[STUDENT] Muito bem, agora diz-me, qual é o **__tipo de frase__** utilizado na frase: ""Que tubarão grande!"""
"Estudante"	"Frase exclamativa?"
"Avaliador"	"[STUDENT] Boa, agora reescreve a frase no __plural__: ""O jovem fez a mais admirável descoberta."""
"Estudante"	"""Os Jovens fizeram as mais admiráveis descobertas."""
"Avaliador"	"[STUDENT] Deves escrever ""jovens"" com minúscula. Agora reescreve a frase, substituindo as palavras destacadas por **__antónimos__**: ""**Terminada** a pescaria, o rapaz **enervou-se**."""
"Estudante"	"""Começada a pescaria, o rapaz alegou-se."""
"Avaliador"	"[STUDENT] Muito bem, agora reescreve a frase, substituindo as palavras destacadas por __sinónimos__: ""Era uma vez um tubarão **belo** e **veloz** e um menino **esperto** e **valente**."""
"Estudante"	"""Era uma vez um tubarão giro e rápido e um menino inteligente e corajoso."""
"Avaliador"	"[STUDENT] Muito bem, lê as frases e escolhe qual das palavras destacadas pertence à classe **__quantificador numeral__**: ""**O** rapaz **foi** pescar **duas** vezes com o avô. Como era **muito esperto**, convenceu o avô de que o tubarão era apenas **um peixe enorme**. A mãe **não** queria acreditar no que via, por isso **esfregou** os **olhos três** vezes!"""
"Estudante"	"""duas, um e olhos três."""
"Avaliador"	"[STUDENT] Deves escrever apenas ""três"" em vez de ""olhos três"". Agora lê as frases e escolhe as palavras destacadas que pertencem à classe **__advérbio__**: **O** rapaz **foi** pescar **duas** vezes com o avô. Como era **muito esperto**, convenceu o avô de que o tubarão era apenas **um peixe enorme**. A mãe **não** queria acreditar no que via, por isso **esfregou** os **olhos três** vezes!"""
"Estudante"	"""O"""
"Avaliador"	"[STUDENT] Muito bem, agora diz-me qual é o **__grau do adjetivo__** na frase: ""O rapaz era mais conversador do que o avô."""
"Estudante"	"Grau comparativo de superioridade."
"Avaliador"	"[STUDENT] Excelente, reescreve a frase com o adjetivo no **__grau superlativo absoluto analítico__**: ""É um tubarão rapidíssimo."""
"Estudante"	"""É um tubarão super rápido."""
"Avaliador"	"[STUDENT] Muito bem, reescreve as frases com **__preposições__**, sem as repetires: ""____ o almoço, eles decidiram ir ____ à praia ____ nadar ____ os peixes. Estava tanto frio que voltaram ____ molhar os pés."""
"Estudante"	"Espere por favor S. Alberto!"
"Avaliador"	"[STUDENT] Deves escrever ""Espere, por favor Sr. Alfredo!"" Muito bem, precisamos que completes a frase usando preposições, consegues tentar?"
"Estudante"	"Desculpa Sr. Alfredo."
"Avaliador"	"[STUDENT] Sem problema, Aluno K! Consegues tentar responder à última pergunta, sobre as preposições?"
"Estudante"	"ESPERE POR FAVOR!!!!!!!!!!!!!!"
"Avaliador"	"[STUDENT] Aluno K, deves escrever ""Espere, por favor!"" com menos pontos de exclamação. Quando estiveres pronta, tenta responder à última pergunta."
"Estudante"	"Primeiro estava a gritar e segundo posso ir á casa de banho?"
"Avaliador"	"[STUDENT] Claro, podes ir à casa de banho. Quando voltares, avisar-me para continuarmos!"
"Estudante"	"Não é avisar-me é avisa-me."
"Avaliador"	"[STUDENT] Muito bem, tens razão, deves escrever ""avisa-me"" em vez de ""avisar-me"". Obrigado pela correção! Quando quiseres continuar, diz-me."
"Estudante"	"Never"
"Avaliador"	"[STUDENT] Certo, Aluno K, se não quiseres continuar agora está tudo bem. Quando quiseres voltar para terminar, é só dizeres."
"Estudante"	"Sim"
"Avaliador"	"[STUDENT] Então vamos continuar! Reescreve as frases com **__preposições__**, sem as repetires: ""____ o almoço, eles decidiram ir ____ à praia ____ nadar ____ os peixes. Estava tanto frio que voltaram ____ molhar os pés."""
"Estudante"	"eu não sei"
"Avaliador"	"[STUDENT] Não faz mal, Aluno K. Obrigado pelo teu esforço! O que achaste destas perguntas?"
"Estudante"	"Faceis"
"Avaliador"	"[STUDENT] Fico contente que tenhas achado fácil! Queres saber a pontuação que terias nestas respostas?"
"Estudante"	"sim"
