"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá, eu sou o Professor Alfredo, o Diretor da escola Trusty Tutors. Como te chamas?"
"Estudante"	"Aluno M"
"Avaliador"	"[STUDENT] Muito bem, Aluno M. Quantos anos tens?"
"Estudante"	10
"Avaliador"	"[STUDENT] Já tens uma idade bonita, Aluno M. O que costumas gostar mais de fazer nas aulas?"
"Estudante"	"prestar atençao"
"Avaliador"	"[STUDENT] É muito importante prestar atenção, sim senhor! Ficaste contente por teres sido selecionado para esta atividade especial?"
"Estudante"	"claro"
"Avaliador"	"[STUDENT] Fico feliz em saber isso! Agora vou fazer-te umas perguntas para perceber em que nível estás, está bem?"
"Estudante"	"ok"
"Avaliador"	"[STUDENT] Vais ter apenas uma oportunidade para responder a cada pergunta e não podes colocar dúvidas no momento, combinado?"
"Estudante"	"ok"
"Avaliador"	"[STUDENT] Posso então começar?"
"Estudante"	"sim"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Muito bem, __escreve__ o nome de 3 **continentes** que façam parte do Planeta Terra."
"Estudante"	"AFRICA  ASIA  EUROPA"
"Avaliador"	"[STUDENT] Deves escrever ""África"" em vez de ""AFRICA"", ""Ásia"" em vez de ""ASIA"" e ""Europa"" já está correto. __Escreve__ o nome de 4 **países** que fazem parte da União Europeia."
"Estudante"	"PORTUGAL  ESPANHA  ALEMANHA   POLONIA"
"Avaliador"	"[STUDENT] Deves escrever ""Polónia"" em vez de ""POLONIA"", os outros estão corretos. Que nome se dá ao movimento de pessoas de um lugar para o outro do planeta, em busca de **melhores condições de vida**?"
"Estudante"	"EU SEI MAS NAO ME LEMBRO"
"Avaliador"	"[STUDENT] Compreendo, vamos avançar. __Escreve__ um exemplo de uma **migração** por razões __humanitárias__."
"Estudante"	"PARA ARRANJAR COMIDA E SITIOS PARA DORMIR"
"Avaliador"	"[STUDENT] Deves escrever ""arranjar"" em vez de ""ARRANJAR"" e ""sítios"" em vez de ""SITIOS"". __Define__ densidade **populacional**."
"Estudante"	"NAO SEI"
"Avaliador"	"[STUDENT] Não faz mal, vamos continuar. Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"FURACOES"
"Avaliador"	"[STUDENT] Não está relacionado com ""furacões"", mas vou passar à seguinte questão. __Escreve__ o exemplo de um comportamento correto durante um **sismo**."
"Estudante"	"TEMOS DE NOS POR DEBAIXO DE UMA CAMA"
"Avaliador"	"[STUDENT] Deves escrever ""pôr"" em vez de ""POR"". __Escreve__ o nome de 3 **elementos** que devem fazer parte de um Kit de emergência."
"Estudante"	"COMIDA ENLATADA  RÁDIO E  ÁGUA"
"Avaliador"	"[STUDENT] Muito bem, escreveste corretamente ""rádio"" e ""água"", e ""comida enlatada"" também está correto. __Refere__ uma ou mais características do **solo arenoso**."
"Estudante"	"SOLO EM TERRA"
"Avaliador"	"[STUDENT] Avancemos então. __Escreve__ o nome das três **rochas** que predominam em Portugal Continental."
"Estudante"	"NAO SEI"
"Avaliador"	"[STUDENT] Parabéns, concluíste a primeira parte! O que achaste destas perguntas, Aluno M?"
"Estudante"	"DIFICEIS"
"Avaliador"	"[STUDENT] É normal achares as perguntas difíceis, mas o importante é tentar sempre! Queres saber a pontuação que terias?"
"Estudante"	"CLARO"
