"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá! Eu sou o professor Alfredo, diretor da escola Trusty Tutors. Como te chamas?"
"Estudante"	"Chamo-me Aluno N."
"Avaliador"	"[STUDENT] Muito bem, Aluno N. Quantos anos tens?"
"Estudante"	"Tenho dez anos."
"Avaliador"	"[STUDENT] Fico contente por saber que tens dez anos, Aluno N. Conta-me, gostas de aprender na escola?"
"Estudante"	"Sim, eu gosto de aprender na escola."
"Avaliador"	"[STUDENT] Que bom, fico satisfeito por ouvires isso. Diz-me, qual é a tua disciplina favorita?"
"Estudante"	"A minha disciplina favorita é matemática."
"Avaliador"	"[STUDENT] Muito bem! Ficaste contente por teres sido selecionada para participar nesta atividade aqui na Trusty Tutors?"
"Estudante"	"Ficai um bocado contente."
"Avaliador"	"[STUDENT] Deves escrever ""Fiquei"" em vez de ""Ficai"". Agora vou fazer-te umas perguntas para perceber em que nível estás, está bem?"
"Estudante"	"Sim, estou bem."
"Avaliador"	"[STUDENT] Antes de começarmos, quero avisar-te que não posso esclarecer dúvidas e só tens uma oportunidade para responder de forma completa a cada pergunta, combinado?"
"Estudante"	"Sim, combinado."
"Avaliador"	"[STUDENT] Posso começar?"
"Estudante"	"Podes."
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Muito bem, Aluno N. __Escreve__ o nome de 3 **continentes** que façam parte do Planeta Terra."
"Estudante"	"Asia, Europa e África."
"Avaliador"	"[STUDENT] Deves escrever ""Ásia"" com acento. Muito bem, __Escreve__ o nome de 4 **países** que fazem parte da União Europeia."
"Estudante"	"Portugal, Espanha, França e Alemanha"
"Avaliador"	"[STUDENT] Muito bem, que nome se dá ao movimento de pessoas de um lugar para o outro do planeta, em busca de melhores condições de vida?"
"Estudante"	"Emigração"
"Avaliador"	"[STUDENT] Muito bem, __Escreve__ um exemplo de uma **migração por razões humanitárias**."
"Estudante"	"Guerra"
"Avaliador"	"[STUDENT] Muito bem, **Define** densidade populacional."
"Estudante"	"Não sei."
"Avaliador"	"[STUDENT] Não faz mal! Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"Sismógrafo"
"Avaliador"	"[STUDENT] Muito bem, __Escreve__ o exemplo de um **comportamento correto durante um sismo**."
"Estudante"	"Proteger"
"Avaliador"	"[STUDENT] Deves escrever uma frase mais completa. __Escreve__ o nome de 3 **elementos** que devem fazer parte de um Kit de emergência."
"Estudante"	"Água, pilha e rádio."
"Avaliador"	"[STUDENT] A palavra correta é ""pilhas"" no plural. __Refere__ uma ou mais **características do solo arenoso**."
"Estudante"	"São amarelas."
"Avaliador"	"[STUDENT] Muito bem, __Escreve__ o nome das três **rochas** que predominam em Portugal Continental."
"Estudante"	"Granito, mármore e arenito."
"Avaliador"	"[STUDENT] Parabéns por teres terminado! O que achaste destas perguntas?"
"Estudante"	"Um bocado fácil."
"Avaliador"	"[STUDENT] Fico satisfeito por teres achado fácil. Queres saber qual seria a pontuação que terias nestas perguntas?"
"Estudante"	"Sim"
"Avaliador"	"[STUDENT] Vou dizer-te a tua pontuação:  
Pergunta 1: 10 em 10 pontos;  
Pergunta 2: 10 em 10 pontos;  
Pergunta 3: 5 em 10 pontos;  
Pergunta 4: 10 em 10 pontos;  
Pergunta 5: 0 em 10 pontos;  
Pergunta 6: 10 em 10 pontos;  
Pergunta 7: 0 em 10 pontos;  
Pergunta 8: 7 em 10 pontos;  
Pergunta 9: 0 em 10 pontos;  
Pergunta 10: 5 em 10 pontos.  
Total: 57 em 100 pontos, com pequeno desconto pelos erros ortográficos e acentuação.  
Como te sentes com este resultado?"
"Estudante"	"Feliz"
"Avaliador"	"[STUDENT] Ainda bem que estás feliz! Agora vamos passar à próxima fase: na nossa escola, damos oportunidade a professores mais jovens de ensinarem os alunos; o Professor João vai ajudar-te a melhorar ainda mais. Ele é mesmo simpático, aproveita para falar com ele à vontade! Sentiste-te preparado para conversar com o Professor João?"
"Estudante"	"Sim"
"Avaliador"	"[TUTOR] Professor João, aqui estão as perguntas e respostas do questionário inicial da Aluno N, juntamente com a pontuação atribuída a cada uma:

Pergunta 1 — 10 em 10 pontos  
Pergunta 2 — 10 em 10 pontos  
Pergunta 3 — 5 em 10 pontos  
Pergunta 4 — 10 em 10 pontos  
Pergunta 5 — 0 em 10 pontos  
Pergunta 6 — 10 em 10 pontos  
Pergunta 7 — 0 em 10 pontos  
Pergunta 8 — 7 em 10 pontos  
Pergunta 9 — 0 em 10 pontos  
Pergunta 10 — 5 em 10 pontos  

O objetivo nesta sessão é ajudar a Aluno N a melhorar o seu desempenho e aumentar a sua pontuação nas respostas dadas. No final, peço que me passes a palavra para voltarmos à fase do questionário."
"Tutor"	"Olá, Aluno N! Sou o Professor João e estou muito feliz por estar contigo hoje. O que gostas mais de aprender na escola?"
"Estudante"	"Matemática"
"Tutor"	"Que bom, a matemática é mesmo divertida! Gostavas de aprender algo novo sobre geografia comigo hoje?"
