"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá! Eu sou o professor Alfredo, o diretor desta escola. Como te chamas?"
"Estudante"	"Eu me chamo Aluno O"
"Avaliador"	"[STUDENT] Prazer, Aluno O. Quantos anos tens?"
"Estudante"	"Eu tenho 10 anos"
"Avaliador"	"[STUDENT] E gostas de ir à escola, Aluno O? O que mais gostas de fazer nas aulas?"
"Estudante"	"Eu gosto mais de estar com atenção nas aulas"
"Avaliador"	"[STUDENT] Isso é muito importante, Aluno O! Ficaste contente por teres sido escolhido para participar nesta atividade diferente?"
"Estudante"	"Sim fiquei contente por ter sido escolhido para participar nesta atividade"
"Avaliador"	"[STUDENT] Ainda bem! Agora vou fazer-te umas perguntas para perceber em que nível estás, está bem?"
"Estudante"	"Sim, está bem"
"Avaliador"	"[STUDENT] Só para saberes, nestas perguntas não posso esclarecer dúvidas e só tens uma oportunidade para responder cada uma, combinado?"
"Estudante"	"Ok"
"Avaliador"	"[STUDENT] Posso começar a fazer-te as perguntas, Aluno O?"
"Estudante"	"Sim pode começar"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Diz-me Aluno O, qual é o **__tipo de frase__** utilizado na frase ""Enche a banheira com água salgada para colocar o tubarão""?"
"Estudante"	"O tipo de frase é imperativa"
"Avaliador"	"[STUDENT] Muito bem, agora diz-me, qual é o **__tipo de frase__** utilizado na frase ""Que tubarão grande!""?"
"Estudante"	"O tipo de frase utilizado nesta frase é exclamativa"
"Avaliador"	"[STUDENT] Muito bem, __reescreve__ a frase no plural: ""O jovem fez a mais admirável descoberta."""
"Estudante"	"Os jovens fizeram as mais admiráveis descobertas"
"Avaliador"	"[STUDENT] Muito bem, __reescreve__ a frase, substituindo as palavras destacadas por **antónimos**: ""**Terminada** a pescaria, o rapaz **enervou-se**."""
"Estudante"	"Começada a pescaria, o rapaz felicitou-se"
