"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá! Eu sou o professor Alfredo e sou o diretor da Trusty Tutors. Como te chamas?"
"Estudante"	"Aluno D"
"Avaliador"	"[STUDENT] Olá Aluno D, muito prazer! Quantos anos tens?"
"Estudante"	9
"Avaliador"	"[STUDENT] Que bom, Aluno D! Tens 9 anos, ainda és muito jovem. O que mais gostas de fazer na escola?"
"Estudante"	"estudo do meio"
"Avaliador"	"[STUDENT] Muito bem, escreveste corretamente ""estudo do meio"". Ficaste contente por teres sido selecionada para esta atividade diferente?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Ainda bem que ficaste contente, Aluno D! Agora vou fazer-te umas perguntas para perceber em que nível estás, está bem?"
"Estudante"	"ok"
"Avaliador"	"[STUDENT] Antes de começarmos, quero dizer-te que não posso esclarecer dúvidas durante as perguntas e só tens uma oportunidade para responder de forma completa a cada uma. Está bem para ti?"
"Estudante"	"não muito bem"
"Avaliador"	"[STUDENT] Percebo que não seja o mais fácil, mas vais conseguir! Posso começar com as perguntas?"
"Estudante"	"tabem"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno D, vamos começar! **Escreve** o nome de 3 __continentes__ que façam parte do Planeta Terra."
"Estudante"	"africa europa e américa"
"Avaliador"	"[STUDENT] Deves escrever ""África"" com acento no primeiro ""A"" e começar os nomes dos continentes com letra maiúscula: África, Europa e América. Muito bem, agora **escreve** o nome de 4 países que fazem parte da União Europeia."
"Estudante"	"Portugal Espanha e Itália"
"Avaliador"	"[STUDENT] Faltou escrever mais um país, pois pediam-se quatro países. Também te lembro que todos estes nomes próprios começam com maiúscula: Portugal, Espanha e Itália. Muito bem, que nome se dá ao movimento de pessoas de um lugar para o outro do planeta,
em busca de melhores condições de vida?"
"Estudante"	"não perserbo a pregunta"
"Avaliador"	"[STUDENT] Deves escrever ""percebo"" em vez de ""perserbo"" e ""pergunta"" em vez de ""pregunta"". Lembra-te que, durante este momento, não posso esclarecer dúvidas. Vamos à próxima: **Escreve** um exemplo de uma migração por __razões humanitárias__."
"Estudante"	"Para ter condicões de vida e dinheiro"
"Avaliador"	"[STUDENT] Deves escrever ""condições"" com acento no ""o"" e começar as frases sempre com maiúscula. Muito bem, agora **define** densidade populacional."
"Estudante"	"ainda não dei essa matéria"
"Avaliador"	"[STUDENT] Entendo, mas tenta sempre responder da melhor forma possível, mesmo que não saibas tudo. Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"telemovel ?"
