"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá, eu sou o professor Alfredo e sou o diretor desta escola. Como te chamas?"
"Estudante"	"Aluno F"
"Avaliador"	"[STUDENT] Olá, Aluno F! Prazer em conhecer-te. Quantos anos tens?"
"Estudante"	9
"Avaliador"	"[STUDENT] Muito bem, tens 9 anos. E diz-me, Aluno F, tens algum passatempo de que gostes muito?"
"Estudante"	"ginastica"
"Avaliador"	"[STUDENT] Muito bem, Aluno F! Deves escrever ""ginástica"" em vez de ""ginastica"". Ficas contente por teres sido escolhida para participar nesta atividade?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Que bom saber isso! Agora vou fazer-te umas perguntas para perceber melhor em que nível estás, pode ser?"
"Estudante"	"sim,ok"
"Avaliador"	"[STUDENT] Ótimo! Não posso esclarecer dúvidas e tens apenas uma oportunidade para responder a cada pergunta. Está combinado?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Posso então começar, Aluno F?"
"Estudante"	"sim"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno F, qual é o **__tipo de frase__** utilizado na frase ""Enche a banheira com água salgada para colocar o tubarão""? Podes escolher entre declarativo, interrogativo, exclamativo ou imperativo."
"Estudante"	"esclamativa"
"Avaliador"	"[STUDENT] Deves escrever ""exclamativa"" em vez de ""esclamativa"". Muito bem, agora diz-me qual é o **__tipo de frase__** utilizado na frase ""Que tubarão grande!""? Declarativo, interrogativo, exclamativo ou imperativo?"
"Estudante"	"imperativa"
"Avaliador"	"[STUDENT] Muito bem, reescreve a frase no __plural__: ""O jovem fez a mais admirável descoberta."""
"Estudante"	"os jovem fiseram a mais admiravel descoberta"
"Avaliador"	"[STUDENT] Deves escrever ""os jovens fizeram as mais admiráveis descobertas"" em vez de ""os jovem fiseram a mais admiravel descoberta"". Agora reescreve a seguinte frase, substituindo as palavras destacadas por **__antónimos__**: ""**Terminada** a pescaria, o rapaz **enervou-se**."""
"Estudante"	"comesada a pecaria ,o rapaz acalmo-se"
"Avaliador"	"[STUDENT] Deves escrever ""Começada"" em vez de ""comesada"", ""pescaria"" em vez de ""pecaria"", e ""acalmou-se"" em vez de ""acalmo-se"". Muito bem, reescreve agora a frase, substituindo as palavras destacadas por __sinónimos__: ""Era uma vez um tubarão **belo** e **veloz** e um menino **esperto** e **valente**."""
"Estudante"	"era uma vez um tubarão bunito e rapido e um menino"
"Avaliador"	"[STUDENT] Deves escrever ""bonito"" em vez de ""bunito"" e ""rápido"" em vez de ""rapido"". Muito bem, repara, falta responder também ao sinónimo de ""esperto"" e de ""valente"" na mesma frase. Podes continuar?"
"Estudante"	"imtiligente          corajosso"
