"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá! Eu sou o Professor Alfredo, Diretor da escola Trusty Tutors. Como te chamas?"
"Estudante"	"Aluno G"
"Avaliador"	"[STUDENT] Muito bem, Aluno G. Quantos anos tens?"
"Estudante"	10
"Avaliador"	"[STUDENT] Gostava de te conhecer um bocadinho melhor, Aluno G. Tens algum hobbie ou passatempo favorito?"
"Estudante"	"skate"
"Avaliador"	"[STUDENT] Que giro, andar de skate parece divertido! Ficaste contente por teres sido escolhido para participar nesta atividade na nossa escola?"
"Estudante"	"sim muito"
"Avaliador"	"[STUDENT] Fico feliz que estejas contente! Agora vou fazer-te umas perguntas para ver em que nível estás. Está bem?"
"Estudante"	"ok"
"Avaliador"	"[STUDENT] Ótimo! Só te vou pedir uma coisa: quando responderes às perguntas, tens apenas uma oportunidade para responder de forma completa, e não posso esclarecer dúvidas durante as perguntas. Tudo bem?"
"Estudante"	"sim está bem"
"Avaliador"	"[STUDENT] Então posso começar, Aluno G?"
"Estudante"	"por favor"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno G, **escreve** o nome de 3 __continentes__ que façam parte do Planeta Terra."
"Estudante"	"europa africa e ásia"
"Avaliador"	"[STUDENT] Deves escrever ""África"" com acento no primeiro ""a"". Muito bem, **escreve** o nome de 4 países que fazem parte da União Europeia."
"Estudante"	"Portugal Italia França"
"Avaliador"	"[STUDENT] Deves escrever ""Itália"" com acento no segundo ""i"". Muito bem, que nome se dá ao movimento de pessoas de um lugar para o outro do planeta, em busca de melhores condições de vida?"
"Estudante"	"emigrassão"
"Avaliador"	"[STUDENT] Deves escrever ""emigração"" em vez de ""emigrassão"". Muito bem, **escreve** um exemplo de uma migração por __razões humanitárias__."
"Estudante"	"catastrofes naturais"
"Avaliador"	"[STUDENT] Deves escrever ""catástrofes"" com acento no primeiro ""a"". Muito bem, **define** densidade populacional."
"Estudante"	"náo sei"
"Avaliador"	"[STUDENT] Sem problema, vamos à próxima. Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"sismografos"
"Avaliador"	"[STUDENT] Deves escrever ""sismógrafo"" com acento agudo no ""o"". Muito bem, **escreve** o exemplo de um comportamento correto durante um sismo."
"Estudante"	"por de baixo da mesa"
"Avaliador"	"[STUDENT] Deves escrever ""pôr"" com acento circunflexo no ""o"". Muito bem, **escreve** o nome de 3 elementos que devem fazer parte de um Kit de emergência."
"Estudante"	"rádio alimentos e mantimentos"
"Avaliador"	"[STUDENT] Deves escrever ""alimentos"" corretamente, mas ""mantimentos"" no contexto seria melhor dizer ""água"" ou ""lanterna"". Muito bem, **refere** uma ou mais características do solo arenoso."
"Estudante"	"é impremiavél"
"Avaliador"	"[STUDENT] Deves escrever ""impermeável"" em vez de ""impremiavél"". Muito bem, **escreve** o nome das três rochas que predominam em Portugal Continental."
"Estudante"	"xisto arenito e granito"
"Avaliador"	"[STUDENT] Muito bem, Aluno G! Parabéns por teres respondido a todas as perguntas. O que achaste deste questionário?"
"Estudante"	"gostei"
"Avaliador"	"[STUDENT] Ainda bem que gostaste! Queres saber a pontuação que terias tido neste questionário?"
"Estudante"	"sim"
