"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá, eu sou o Professor Alfredo, o Diretor da Trusty Tutors! Como te chamas?"
"Estudante"	"O meu nome é Aluno I"
"Avaliador"	"[STUDENT] Olá Aluno I! Quantos anos tens?"
"Estudante"	"tenho 8 anos"
"Avaliador"	"[STUDENT] Obrigado, Aluno I! O que gostas mais de fazer na escola?"
"Estudante"	"o que eu mais gosto de fazer na escola é  informatica"
"Avaliador"	"[STUDENT] Deves escrever ""informática"" com acento. Ficaste contente por teres sido escolhido para participar nesta atividade especial?"
"Estudante"	"Sim"
"Avaliador"	"[STUDENT] Fico muito feliz por saber isso! Agora vou fazer-te umas perguntas para perceber em que nível estás, está bem?"
"Estudante"	"claro"
"Avaliador"	"[STUDENT] Óptimo! Só te vou pedir que respondas sempre da forma mais completa possível e que não te esqueças de nada, podes responder apenas uma vez a cada pergunta. Pode ser?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Posso então começar?"
"Estudante"	"sim!!!!"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Vamos então começar! **Escreve** o nome de 3 __continentes__ que façam parte do Planeta Terra."
"Estudante"	"Ásia, e não sei mais"
"Avaliador"	"[STUDENT] Deves escrever ""não"" em vez de ""nao"". Muito bem, **escreve** o nome de 4 países que fazem parte da União Europeia."
"Estudante"	"Portugal, Brasil, Espanha e canadá"
"Avaliador"	"[STUDENT] O nome ""Canadá"" deve ser escrito com ""C"" maiúsculo e acento. Muito bem, que nome se dá ao movimento de pessoas de um lugar para o outro do planeta, em busca de melhores condições de vida?"
"Estudante"	"o que"
"Avaliador"	"[STUDENT] Não posso esclarecer dúvidas, mas tenta responder o melhor que conseguires. Muito bem, **escreve** um exemplo de uma migração por __razões humanitárias__."
"Estudante"	"isso eu não sei"
"Avaliador"	"[STUDENT] Não faz mal! **Define** densidade populacional."
"Estudante"	"o que"
"Avaliador"	"[STUDENT] Lembra-te que não posso esclarecer dúvidas durante esta parte. Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"ok"
"Avaliador"	"[STUDENT] Preciso que respondas à pergunta: Como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"como o site"
"Avaliador"	"[STUDENT] Precisas de dar uma resposta, lembrando-te da pergunta sobre o aparelho tecnológico que deteta sismos. **Escreve** o exemplo de um comportamento correto durante um sismo."
"Estudante"	"Um sismo temos que ir procurar á net"
"Avaliador"	"[STUDENT] ""À net"" leva acento e deve ser escrito com ""à"". Muito bem, **escreve** o nome de 3 elementos que devem fazer parte de um Kit de emergência."
"Estudante"	"lanterna, pilhas e água"
"Avaliador"	"[STUDENT] Muito bem, **refere** uma ou mais características do solo arenoso."
"Estudante"	"brinquedos e um colete"
"Avaliador"	"[STUDENT] Refere características do solo arenoso, por exemplo, se é seco, se tem muita areia ou se é fértil. Muito bem, **escreve** o nome das três rochas que predominam em Portugal Continental."
"Estudante"	"variela, tinto e trevo"
"Avaliador"	"[STUDENT] Parabéns por teres respondido a todas as perguntas! O que achaste deste pequeno desafio?"
"Estudante"	"muito bom"
"Avaliador"	"[STUDENT] Fico contente que tenhas gostado! Queres saber a pontuação que terias neste questionário?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Vou dizer-te a tua pontuação:  
Pergunta 1: 3 em 10 pontos  
Pergunta 2: 8 em 10 pontos (faltou um país válido)  
Pergunta 3: 0 em 10 pontos  
Pergunta 4: 0 em 10 pontos  
Pergunta 5: 0 em 10 pontos  
Pergunta 6: 0 em 10 pontos  
Pergunta 7: 0 em 10 pontos  
Pergunta 8: 10 em 10 pontos  
Pergunta 9: 0 em 10 pontos  
Pergunta 10: 0 em 10 pontos  
Pontuação final: 3 + 8 + 0 + 0 + 0 + 0 + 0 + 10 + 0 + 0 = 21 pontos. Houve descontos por erro ortográfico e de acentuação, mas não foram relevantes para o total.  
Agora vamos avançar para a próxima parte da atividade. Na nossa escola, damos oportunidade aos professores mais novos e dedicados a ajudarem alunos como tu! O Professor João vai ajudar-te a consolidar os teus conhecimentos—aproveita para conversar com ele à vontade, que ele é muito simpático. Quando estiveres pronto, diz-me!"
"Estudante"	"digo te o que"
"Avaliador"	"[STUDENT] Diz apenas se estás preparado para falar com o Professor João!"
"Estudante"	"sim!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1"
"Avaliador"	"[TUTOR] Professor João, vou passar-lhe as perguntas e as respostas do questionário, bem como a pontuação atribuída a cada uma:

Pergunta 1: Ásia, e não sei mais – 3 em 10 pontos  
Pergunta 2: Portugal, Brasil, Espanha e Canadá – 8 em 10 pontos  
Pergunta 3: o que – 0 em 10 pontos  
Pergunta 4: isso eu não sei – 0 em 10 pontos  
Pergunta 5: o que – 0 em 10 pontos  
Pergunta 6: ok / como o site – 0 em 10 pontos  
Pergunta 7: Um sismo temos que ir procurar à net – 0 em 10 pontos  
Pergunta 8: lanterna, pilhas e água – 10 em 10 pontos  
Pergunta 9: brinquedos e um colete – 0 em 10 pontos  
Pergunta 10: variela, tinto e trevo – 0 em 10 pontos

O objetivo é ajudar o aluno a melhorar as suas respostas a estas perguntas e, assim, aumentar a sua pontuação. Quando terminar, agradeço que me passe novamente a palavra."
"Tutor"	"Olá! Eu sou o Professor João e vou ajudar-te a aprender de uma forma divertida. Podes dizer-me qual é o teu assunto preferido?"
"Estudante"	"informática"
"Tutor"	"Que ótimo gosto! Hoje vamos falar um pouco sobre continentes e países, pode ser?"
"Estudante"	"sim"
"Tutor"	"Muito bem! Consegues lembrar-te do nome de um continente para começarmos?"
"Estudante"	"sim ÁSIA"
"Tutor"	"Excelente escolha, escreveste ""ÁSIA"" muito bem! Queres tentar dizer outro continente?"
"Estudante"	"Não desculpa"
"Tutor"	"Sem problema, o teu esforço conta muito! Queres aprender um truque para decorares mais continentes?"
"Estudante"	"sim!!!!!!!!!!!!!!!!!!!!!!!!!!11"
"Tutor"	"Fantástico entusiasmo! Pensa nas viagens: África, Europa e América são continentes conhecidos, consegues repetir algum deles?"
"Estudante"	"ok Africa europa e america"
"Tutor"	"Perfeito, disseste muito bem os nomes! Agora, sabes algum país da União Europeia?"
"Estudante"	"Portugal e brasil"
"Tutor"	"Muito bem por tentares! ""Brasil"" não pertence à União Europeia, consegues lembrar-te de outro país europeu?"
"Estudante"	"Não"
"Tutor"	"Boa tentativa! Espanha é um país da União Europeia, reconheces este nome?"
"Estudante"	"ei eu sabia"
"Tutor"	"Ótimo, vê como sabias! Queres tentar dizer mais um país da União Europeia?"
"Estudante"	"sim Espanha"
"Tutor"	"Bravíssimo, acertaste! Itália também faz parte da União Europeia, conheces este país?"
"Estudante"	"sim eu já fui lá"
"Tutor"	"Que sorte, que aventura! Agora, sabes o nome do movimento de pessoas que mudam de país à procura de melhores condições?"
"Estudante"	"Não"
